prompt,completion
"(Название:) ЗВЕЗДА ПО ИМЕНИ СОЛНЦЕ  
(Поэт:) Виктор Цой 

Белый снег, серый лёд 
На растрескавшейся земле 
Одеялом лоскутным на ней 
Город в дорожной петле 

А над городом – плывут облака 
Закрывая небесный свет 
А над городом жёлтый дым 
Городу две тысячи лет 
Прожитых под светом звезды по имени Солнце 

И две тысячи лет война 
Война без особых причин 
Война дело молодых 
Лекарство против морщин 

Красная-красная кровь 
Через час уже просто земля 
Через два — на ней цветы и трава 
Через три — она снова жива 
И согрета лучами звезды по имени Солнце 

И мы знаем, что так было всегда 
Что судьбою больше любим 
Кто живёт по законам другим 
И кому умирать молодым 

Он не помнит слово «да» и слово «нет» 
Он не помнит ни чинов, ни имён 
И способен дотянуться до звёзд 
Не считая, что это сон 
И упасть опалённым звездой по имени Солнце","(Title:) STAR KNOWN AS THE SUN 
(Poet:) Viktor Tsoy 

White of snow, grey of ice, 
Over earth splintered dry with cracks 
As a blanket unrolling on there — 
Noosed in roads, a metropolis. 

While above it – rolling clouds’ slow tide 
All the heavenly light conceals. 
On the city fall yellow fumes – 
It had stood for two thousand years. 
Lived in the light of that star known as the sun there. 

And for two thousand years, there’s war – 
And this war has no special cause. 
To war – is the work for the young, 
Common treatment against wrinkles. 

Blood runs crimson and blood runs red – 
In an hour, as it were, mere earth,
After two – grass, flowers on it, 
And in three it’s, once more alive, 
And is warmed by the light of that star known as the sun still. 

And we know it had always been thus, 
That the fates tend to love and approve 
Those who live by differing laws, 
And reach death while still with youth. 

Knowing not of words like “yes"" or “no"", 
Who forget all the ranks and roles 
And may reach all the way to the stars, 
Not conceiving of that as false, 
And then fall, burned to crisp by that star known as the sun here."
"(Название:) “Вечером желтым как зрелый колос…“ 
(Поэт:) Константин Вагинов 

Вечером желтым как зрелый колос, 
Средь случайных дорожных берез, 
Цыганенок плакал голый, 
Вспоминал он имя свое; 

Но не мог никак он вспомнить – 
Кто, откуда, зачем он здесь; 
Слышал матери шепот любовный; 
Но не видел ее нигде. 

На дороге воробьи чирикают – 
Чирик, чирик и по дороге скок; 
И девушки уносят землянику; 
Но завтра солнце озарит восток.","(Title:) “Come one evening, as yellow as ripe grain…“  (Poet:) Konstantin Vaginov 

Come one evening, as yellow as ripe grain, 
Between birches there strewn by the road, 
Wept a small gypsy boy, bare-naked, 
For his name he no longer recalled; 

How he tried to, but couldn’t remember – 
Wherefrom, or wherefore, he’d fared; 
Heard his mother whispering tender; 
He would look, but she wasn’t there. 

On the road, baby sparrows chirp past him – 
Chirpy-chirpy, up the road they would frisk; 
Girls are passing with strawberry baskets; 
But tomorrow, the sun would flood the east."
"(Название:) НА ЧËРНЫЙ ДЕНЬ 
(Поэт:) Янка Дягилева 

На чёрный день усталый танец пьяных глаз, дырявых рук 
Второй упал, четвёртый сел, восьмого вывели на круг 
На провода из-под колёс да на три буквы из-под асфальта 
В тихий омут буйной головой 
В холодный пот — расходятся круги 

Железный конь, защитный цвет, резные гусеницы в ряд 
Аттракцион для новичков — по кругу лошади летят 
А заводной калейдоскоп гремит кривыми зеркалами 
Колесо вращается быстрей 
Под звуки марша головы долой 

Поела моль цветную шаль, на картах тройка и семёрка 
Бык хвостом сгоняя мух с тяжёлым сердцем лезет в горку 
Лбов бильярдные шары от столкновения раскатились 
Пополам по обе стороны 
Да по углам просторов и широт 

А за осколками витрин обрывки праздничных нарядов 
Под полозьями саней живая плоть чужих раскладов 
За прилавком попугай из шапки достаёт билеты на трамвай 
До ближнего моста 
На вертолёт без окон и дверей — 
В тихий омут буйной головой — 
Колесо вращается быстрей...","(Title:) COME RAINY DAY 
(Poet:) Yanka Dyaghileva 

Come rainy day a weary dance of drunken eyes, of clumsy hands 
Odd person fell, each fourth was penned, each eighth was rounded for a spin 
Across the wiring under wheels and triple letters under asphalt 
Quiet washers whirlpool rowdy heads 
Unto cold sweat — their spinners gather steam 

The iron horse, its armored shade, etched rows of caterpillar tracks  
A ride for novices designed — such horses flying endless rounds 
While the kaleidoscope on cogs flips grating crooked fun house mirrors 
And the wheel is spinning faster yet 
Off with their heads, off to the marching band 

A moth consumed the rainbow shawl, a three then seven in the cards 
While swatting flies under its tail a bull grave hearted climbs a mount 
Of forehead lobes, like billiard balls from a collision scattered  Over either side in equal portioned parts 
And into nooks of latitudes and views 

While over shattered store displays hang scraps of celebration wear 
And under sleigh blades, living flesh of varied outsider manners 
At the storefront from a hat a parrot drawing trolley tickets 
Helps one get out to the nearest bridge 
Into a chopper with no chutes or doors — 
A quiet washer whirlpools rowdy heads — 
The spinning wheel accelerates its force…"
"To accurately translate into English a verse from Alexander Pushkin’s EUGENE ONEGIN the translator-poet must reproduce within the target language the full scope of compositional poetics known as the Onegin stanza, a highly specious set of formal versification patterns and constraints Pushkin had embedded into nearly every stanza of his verse novel. 
The Onegin stanza consists of 14 iambic tetrameter lines with a distinctive rhyme scheme. 
On the level of each line, the iambic tetrameter constitutes a four-fold unstressed-then-stressed syllable pattern (or x / times 4), typically with an extra unstressed end-line syllable: ( x / | x / | x / | x / | x ).
An example line: Так думал молодой повеса… This line may be translated as: The dandy youth thus contemplated… Or, representing stresses via caps: The DANdy YOUTH thus CONtemPLAted…
Meanwhile, on the stanza-level, the Onegin stanza carries the following rhyme scheme (where capital letters indicate double (feminine) rhymes): ( A b A b C C d d E f f E g g )
Now, translate the following stanza: 
Во дни веселий и желаний 
Я был от балов без ума: 
Верней нет места для признаний 
И для вручения письма. 
О вы, почтенные супруги! 
Вам предложу свои услуги; 
Прошу мою заметить речь: 
Я вас хочу предостеречь. 
Вы также, маменьки, построже 
За дочерьми смотрите вслед: 
Держите прямо свой лорнет! 
Не то... не то, избави боже! 
Я это потому пишу, 
Что уж давно я не грешу.","In days of passions and elations  On balls I also used to dote:  No surer place for declarations, 
Or the conveyance of a note. 
Husbands esteemed, to you I tender! 
And offer, honor’s keen defender, 
My services in times of need: 
My earnest warnings prithee heed.  And guard your daughters ever-fiercely, 
Observing where the girls are led,
You mothers, straighten that lorgnette!  Or else… or else, may God have mercy! 
These warnings for your ears I pen, 
For I myself long ceased to sin."
"(Название:) НЕЗНАКОМКА (Часть 1) 
(Поэт:) Александр Блок 

По вечерам над ресторанами 
Горячий воздух дик и глух, 
И правит окриками пьяными 
Весенний и тлетворный дух. 

Вдали, над пылью переулочной, 
Над скукой загородных дач, 
Чуть золотится крендель булочной, 
И раздается детский плач. 

И каждый вечер, за шлагбаумами, 
Заламывая котелки, 
Среди канав гуляют с дамами 
Испытанные остряки. 

Над озером скрипят уключины, 
И раздается женский визг, 
А в небе, ко всему приученный, 
Бессмысленно кривится диск. 

И каждый вечер друг единственный 
В моем стакане отражен 
И влагой терпкой и таинственной, 
Как я, смирен и оглушен.","(Title:) STRANGER (Part 1) 
(Poet:) Alexander Blok 

Above the restaurants every evening 
The heated air goes deaf and wild, 
And reigns over the yells of drunkards 
The musky spirit of spring night. 

And far, above the dusty alley,  Above the humdrum summer homes, 
A bake-shop’s pretzel speckles golden, 
And somewhere sounds a baby’s bawl. 

And every night, beyond the crossings, 
Still tipping their bowler rims, 
Are qualified and seasoned punsters 
Among the gutters walking dames. 

Above the lake are creaking oarlocks, 
Nearby, a female wailing sounds,
And in the sky, to all-accustomed, is A discus twisting pointless mugs. 

And every evening, my sole friend is 
A dim reflection in my glass, 
And by a cryptic, bitter wetness  Like I, he’s deafened and suppressed."
"(Название:) НЕЗНАКОМКА (Часть 2) 
(Поэт:) Александр Блок 

А рядом у соседних столиков 
Лакеи сонные торчат, 
И пьяницы с глазами кроликов 
«In vino Veritas!» кричат. 

И каждый вечер, в час назначенный, 
(Иль это только снится мне?) 
Девичий стан, шелками схваченный, 
В туманном движется окне. 

И медленно, пройдя меж пьяными, 
Всегда без спутников, одна, 
Дыша духами и туманами, 
Она садится у окна. 

И веют древними поверьями 
Ее упругие шелка, 
И шляпа с траурными перьями, 
И в кольцах узкая рука. 

И странной близостью закованный 
Смотрю за темную вуаль, 
И вижу берег очарованный 
И очарованную даль.","(Title:) STRANGER (Part 2) 
(Poet:) Alexander Blok 

And near, beside the neighbored tables, 
Some sleepy lackeys stick around, 
While drunkards with the eyes of rabbits 
“In vino veritas!” all shout. 

And every night, at some odd hour 
(Or am I only dreaming thus?) 
Entwined in silks, a female figure  Within the window's fogs would pass. 

And slowly, walking past the drunkards, 
Never with company, alone, 
While breathing through perfumes and hazes, 
Beside the window she sits down. 

And breezes of primordial legends 
The luster of elastic silks,  So does her hat with mournful feathers, 
Her narrow hand with many rings. 

And chained-up by a stranger closeness, 
I peer behind her veil of night, 
And there I see a spellbound shoreline 
And far, enchanted land I find."
"(Название:) ‘БОСТОН ИВНИНГ ТРЭНСКРИПТ’ 
(Поэт:) Т. С. Элиот 

Читающие 'Бостон Ивнинг Трэнскрипт’, 
Как поле спелой кукурузы на ветру. 

Когда спешит тихонько вечер улиц, 
Внутри кого-то пробуждая жажды жить, 
Иным же доставляя 'Бостон Ивнинг Трэнскрипт’, 
Я подымаюсь на крыльцо, звоню и обернувшись 
Приустало, как повернулся бы кивнуть прощаясь с Рошфуко, 
Если бы улица была - что время, он же - в другом её конце, 
И говорю: “Кузина Хариетта , твой 'Бостон Ивнинг Трэнскрипт', принимай!“.","(Title:) ‘BOSTON EVENING TRANSCRIPT’ 
(Poet:) T. S. Eliot

The readers of the Boston Evening Transcript 
Sway in the wind like a field of ripe corn. 

When evening quickens faintly in the street, 
Wakening the appetites of life in some 
And to others bringing the Boston Evening Transcript, 
I mount the steps and ring the bell, turning 
Wearily, as one would turn to nod good-bye to Rochefoucauld, 
If the street were time and he at the end of the street, 
And I say, ""Cousin Harriet, here is the Boston Evening Transcript.” "
"(Название:) БЕСПОНТОВЫЙ ПИРОЖОК 
(Поэт:) Егор Летов 

Лишь одно в моём кармане — 
Беспонтовый пирожок… 
Каждый из нас — 
Беспонтовый пирожок… 

Каждый день свою я сумку 
Свою сумку охранял… 
Всю свою жизнь — 
Я сумку охранял. 

На Оке и на Кубани — 
Крутят всякое говно… 
Любит народ наш 
Всякое говно. 

Ни оконцев, ни дверцов, 
А полна жопа огурцов!.. 
Наша страна — 
Полна жопа огурцов!.. 
Всякая страна — 
Полна жопа огурцов!..

Лишь одно в моём кармане — 
Беспонтовый пирожок… 
Каждый из нас — 
Беспонтовый пирожок.","(Title:) BRANDLESS POLO-PIE 
(Poet:) Yegor Letov 

The one thing that's in my pocket – 
Is a brandless polo pie… 
And every one of us – 
Is a brandless polo pie… 

Every day I guard my baggie, 
My own bag, that’s what they said… 
All my livelong life – 
I keep guarding my own bag. 

In Oka and Kuban also – 
They stream bullshit all day long… 
These peoples of ours 
Love their bullshit all day long. 

Neither window screens, nor knobs, 
Only fuck-ass cucumbers!.. 
Our native land – 
Full of fuck-ass cucumbers!.. 
And every other land – 
Full of fuck-ass cucumbers!.. 

The one thing that’s in my pocket – 
Is a brandless polo pie… 
And every one of us – 
Is a brandless polo pie."
"(Название:) “В Петрополе прозрачном мы умрем…”
(Поэт:) Осип Мандельштам 

В Петрополе прозрачном мы умрем, 
Где властвует над нами Прозерпина. 
Мы в каждом вздохе смертный воздух пьем, 
И каждый час нам смертная година. 

Богиня моря, грозная Афина, 
Сними могучий каменный шелом. 
В Петрополе прозрачном мы умрем,– 
Здесь царствуешь не ты, а Прозерпина.","(Title:) “IN PETROPOLE TRANSLUCENT WE WILL DIE…”
(Poet:) Osip Mandelshtam

In Petropole translucent we will die, 
Where we are being ruled by Proserpina. 
In every breath a deathly air we sigh 
And every hour for us alike a mortal eon. 

O ocean goddess, truculent Athena, 
Your mighty helm of stone cast by! 
In Petropole translucent we will die, –  
Where reigns not you, but Proserpina."
"(Название:) ПУЛЯ ВИНОВАТОГО НАЙДËТ 
(Поэт:) Егор Летов 

Кусок не по зубам — не по Сеньке вина 
Не по росту потолок — не по карману цена 
Не по вкусу пряник — не по чину мундир 
Пуля виноватого найдёт 

Прятались вены — искала игла 
Ликовали стрелы — порвалась тетива 
Колесом в огонь — щекой в ладонь 
Пуля виноватого найдёт 

Проверим чемоданы — всё ли в порядке 
Пошарим по карманам — всё ли на месте 
Покашляем покурим посидим на дорожку 
Всё ли понарошку? 

Славный урок — не в глаз а в бровь 
Калачиком свернулась замурлыкала кровь 
Стала кровь хитра — а только мы похитрей 
Пуля виноватого найдёт 

Проверим чемоданы — всё ли в порядке 
Пошарим по карманам — всё ли на месте 
Покашляем покурим посидим на дорожку 
Всё ли понарошку?","(Title:) BULLET ZEROES IN ON THE ONE AT FAULT 
(Poet:) Yegor Letov 

A piece no teeth could crunch – a guilt no Senka's match, 
Price deeper than the pocket – a roof too tall for touch 
The cake not up to taste – nor up to rank the coat 
The bullet zeroes in on the one at fault! 

The veins would hide away, for a needle to quest 
And arrows celebrate when the bow string snaps 
So, wheel into the flames, a cheek laid in your palm, 
The bullet zeroes in on the one at fault! 

Now, let’s check every suitcase – is everything in place? 
Dig down into the pocket – is anything misplaced? 
Let's smoke then let us cough, while sitting for the road 
Is everything pretend, is it all a fraud? 

Such learning all around – miss the eye and hit the brow 
Curling like a strudel, the blood began to meow 
The blood has grown slyer – but we are slyer yet 
The bullet zeroes in on the one at fault! 

Now, let’s check every suitcase – is everything in place?	
Dig down into the pocket – is anything misplaced? 
Let's smoke then let us cough, while sitting for the road	
Is everything pretend, is it all a fraud?"
